step_number,epoch_number,training_loss
1,0,3.1120405197143555
2,0,2.4900712966918945
3,0,2.144214153289795
4,0,1.9093847274780273
5,0,1.7663546800613403
6,0,1.61685311794281
7,0,1.8004581928253174
8,0,1.5802162885665894
9,0,1.6117746829986572
10,0,1.62702214717865
11,1,1.452013611793518
12,1,1.5103002786636353
13,1,1.4303451776504517
14,1,1.348484754562378
15,1,1.258655309677124
16,1,1.1464416980743408
17,1,1.3195221424102783
18,1,1.1570887565612793
19,1,1.2261278629302979
20,1,1.2337619066238403
21,2,1.1265233755111694
22,2,1.145630955696106
23,2,1.1095589399337769
24,2,1.0325838327407837
25,2,0.9437339305877686
26,2,0.8325744867324829
27,2,0.9850565195083618
28,2,0.8748578429222107
29,2,0.9150452613830566
30,2,0.9101759195327759
